label,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Hour,Is_High_Risk_Hour,Amount_Log,Amount_Zscore,Is_Round_Amount,Txn_Count_Last_Hour,Amount,Class
🚫 High risk #1,-4.17167409700773,4.30844987710803,-8.23931473789338,4.16899712291352,-3.85555178034389,-3.02305062433235,-5.52117091085174,3.04683514933838,-2.6127598973363,-6.74604741416378,3.78934607143391,-7.68364279513021,-1.18955114572977,-9.25752067304945,1.03638000621667,-5.13919711874594,-8.43096726944362,-2.69604844926284,0.9013967736554,0.818595615438491,0.902860571367263,-0.448209026783432,-0.0617210426827117,-0.0525628444096432,0.0044867581738014,-0.293409430031766,1.28146640206865,0.307833804234966,8.0,0.0,4.5107496103686,0.0065583721119096775,0.0,3679.0,89.99,0.0
🚫 High risk #2,-13.0865194204794,7.35214833905529,-18.256576111808,10.6485054461688,-11.7314764509112,-3.65916740569145,-14.8736579646075,8.81047267511276,-5.4182040716445,-13.2025771482197,6.35722736343626,-15.5316111795156,0.659694875353275,-11.4123295951252,-2.44757607431839,-9.83374302098841,-18.1746174349071,-7.269904593126,0.623796611777714,-1.37629840858733,2.7611570593153,-0.266161809571132,-0.412860724865388,0.519952215674181,-0.743908960008006,-0.167808225140728,-2.498300252188,-0.711066151912636,2.0,1.0,3.443937535338314,-0.23204699305163148,0.0,1795.0,30.31,1.0
🚫 High risk #3,-16.9174682656955,9.66990017304097,-23.7364434105216,11.8249902296814,-9.83054822917941,-2.51482887310345,-17.2906566748216,1.8204078670595,-6.26490348784789,-12.9166361091709,9.56711029521397,-13.7170673789468,0.899540705915631,-13.2729650621928,-0.402260044266312,-7.75409405936683,-11.6446032058862,-4.74130270962407,0.58462597267458,0.996745095162688,-2.33611095619483,0.972754726208974,1.24186581168063,-1.05108624820763,0.0380090796054737,0.672317065099677,2.10847085205046,-1.42124325273233,5.0,1.0,0.6931471805599453,-0.3492306936706561,1.0,1559.0,1.0,1.0
🚫 High risk #4,-4.69679522444504,2.69386747884008,-4.47513271259153,5.4676845487781,-1.55675807549758,-1.54942028904253,-4.10421487278526,0.553934075416293,-1.49846813107494,-4.59495176285009,5.27550585077254,-11.3490285500915,0.374549235103921,-8.13869488434773,0.548570894168134,-6.65359434741365,-10.2467554066001,-4.19106626655491,0.991486122257293,-0.158970548660611,0.573898081112651,-0.0801627753981571,0.318407817148194,-0.245862202650853,0.338238431564141,0.0322706213908033,-1.50845793363219,0.608074682590101,3.0,1.0,0.0,-0.35322877284564846,1.0,2085.0,0.0,1.0
🔎 Borderline / review #1,-3.62691506630665,2.25877996947976,-1.1192029898095,5.99960993913767,-2.31295632815021,0.763049913774785,-3.59374840334504,0.578714578341893,-1.01507060945187,-1.08491653602529,2.91641496767422,-6.76195656742314,0.195100739053483,-1.6495668112005,-0.595422950580652,-2.84219950572164,-5.24338404538164,-0.764312612004332,1.89162172298525,-0.75845920225147,1.44976882403654,0.780045323063902,0.364275698747869,-0.0340705139724262,-0.608751118242453,0.416604864954629,-0.379315932708614,0.610837917375757,3.0,1.0,4.3419855851366975,-0.049934486630731675,0.0,1994.0,75.86,0.0
🔎 Borderline / review #2,1.19360172145777,0.592597493138423,-0.39742855610247,1.31289016480148,0.167251940891095,-0.801801671530429,0.155146197205539,-0.0405932052378302,0.0820133477824887,-0.691422502692501,0.146714378827505,-0.650995362990395,-1.24616894978229,-1.07567336704228,1.46935612672753,0.358615086824187,1.23947581611569,0.2867376850777,-0.975973827929071,-0.20453740438245,-0.0535211981231428,-0.103180233581197,-0.080059154041448,-0.0912544414893411,0.578819460123508,-0.293781350708026,0.0441033170972438,0.0515837211541375,18.0,0.0,0.6931471805599453,-0.3492306936706561,1.0,7900.0,1.0,0.0
🔎 Borderline / review #3,1.02530340654718,-1.50518577032672,-2.20992038869355,0.901724320264685,-0.396748528290914,-1.10629601777883,0.859917753608506,-0.455573807782641,0.875307464891725,-1.15258001797485,-0.38903500288805,0.599104070113606,0.539179541837008,-1.59505443153609,-0.112764746586136,0.0815816475795779,1.15309051168762,0.127135865074007,-0.0440404847252499,0.910572049200048,0.0618666876692273,-0.698361503097458,-0.28622003965581,-0.109349200604237,-0.225928513385738,-0.143928499249446,-0.0988174352523109,0.0726821657203171,13.0,0.0,6.2690773441329695,1.75371897158355,0.0,7677.0,526.99,0.0
🔎 Borderline / review #4,-7.26456096738832,6.57712531505206,-12.1387153685985,5.8651470661439,-6.88591311529983,-3.52177268877731,-10.0613735813063,5.19058821775672,-3.17186548766467,-10.5853663749267,8.94166507579763,-13.8843925987509,0.44119419866412,-11.8871737109064,-0.551169499846371,-9.272106749548,-15.724715104531,-5.02333078787066,1.804916226668,1.37070901599827,1.51965736434991,-0.578047057095268,-0.138307530213517,-0.005171470865434,0.28493782798657,-0.289686969132346,1.97982515921143,0.624805525113923,5.0,1.0,4.5107496103686,0.0065583721119096775,0.0,1671.0,89.99,0.0
✅ Typical / low risk #1,-0.709217388412431,0.110413896850112,1.62584339306904,-2.21183669937738,-2.10837023551211,-0.0988725975851389,-1.56102140427701,-3.39710244325109,-1.95295337537294,0.968328872217131,-0.132426734189941,-0.120421630619521,1.40742591023944,-0.613423754434241,0.220316067240906,0.0365330178492274,0.424086226981964,0.0317380777780906,-1.37859119169235,-1.01718740777171,2.93705443842524,-0.94729693231592,-0.274063593069081,0.703807225165543,1.38203735759333,-0.076401567521384,0.299717014354497,0.142267393741534,22.0,0.0,4.672828834461906,0.07056761970353662,1.0,10414.0,106.0,0.0
✅ Typical / low risk #2,1.44582547551499,-1.16740810716462,0.0656312996431305,-1.47664442679857,-1.36336664536695,-0.640204287366433,-0.929968990166908,-0.0718382371594823,-1.98984482721224,1.65748507724771,0.698079517779004,-1.04188579723,-0.894727994196991,0.227028329828639,-0.0240667843577633,-0.156294202376612,0.255479958176894,0.726551046956287,0.167730813691794,-0.327051638316483,-0.11275619647968,-0.0982973730084015,-0.101193111679368,-0.0397036839755638,0.475941350990625,-0.111268272426136,0.0003019498977389,0.0052584052713679,9.0,0.0,3.8916161956504833,-0.1613609532377674,0.0,5978.0,47.99,0.0
